ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
295	PCNA-DNA ligase complex	Mouse	None	FM3A cells	O35654;P17918;P37913;Q9EQ28	18972;18538;16881;67967	MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients	GO:0006260;GO:0006281;GO:0005634	DNA replication;DNA repair;nucleus	10.01.03;10.01.05.01;70.10	DNA synthesis and replication;DNA repair;nucleus	10219083	DNA polymerase delta subunit 2;Proliferating cell nuclear antigen;DNA ligase 1;DNA polymerase delta subunit 3	Pold2;Pcna;Lig1;Pold3	None;None;Lig-1;None	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
296	Pcna-Msh2-Msh6 complex	Mouse	None	None	P17918;P43247;P54276	18538;17685;17688	MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05.01;70.10	DNA repair;nucleus	10219083	Proliferating cell nuclear antigen;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6	Pcna;Msh2;Msh6	None;None;Gtmbp	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
297	PCNA-DNA polymerase delta complex	Human	None	None	P12004;P28340;P49005;Q15054;Q9HCU8	5111;5424;5425;10714;57804	MI:0071- molecular sieving; MI:0006- anti bait coimmunoprecipitation; MI:0096- pull down	GO:0006260;GO:0006281;GO:0005634	DNA replication;DNA repair;nucleus	10.01.03;10.01.05.01;70.10	DNA synthesis and replication;DNA repair;nucleus	11328591	Proliferating cell nuclear antigen;DNA polymerase delta catalytic subunit;DNA polymerase delta subunit 2;DNA polymerase delta subunit 3;DNA polymerase delta subunit 4	PCNA;POLD1;POLD2;POLD3;POLD4	None;POLD;None;KIAA0039;POLDS	None	None	PPLD3 stabilizes the polymerase delta complex and increases the affinity of polymerase delta for PCNA.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
298	VEGF transcriptional complex	Human	None	None	P27695;P40763;Q16665;Q99966	328;6774;3091;4435	MI:0019-coimmunoprecipitation	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus	11.02.03.04;70.10	transcriptional control;nucleus	15735682	DNA-;Signal transducer and activator of transcription 3;Hypoxia-inducible factor 1-alpha;Cbp/p300-interacting transactivator 1	APEX1;STAT3;HIF1A;CITED1	APE APE1 APEX APX HAP1 REF1;APRF;BHLHE78 MOP1 PASD8;MSG1	This complex regulates Src-dependent hypoxia-induced expression of VEGF in pancreatic and prostate carcinomas.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
299	IRF3-CBP complex	Human	None	None	Q14653;Q99966	3661;4435	MI:0114-x-ray crystallography;MI:0019-coimmunoprecipitation	GO:2001141;GO:0006355;GO:0051090	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;regulation of sequence-specific DNA binding transcription factor activity	11.02.03.04;18.02.09	transcriptional control;regulator of transcription factor	16154084	Interferon regulatory factor 3;Cbp/p300-interacting transactivator 1	IRF3;CITED1	None;MSG1	None	None	The crystal structure of IRF-3 in complex with CBP reveals that CBP interacts with a hydrophobic surface on IRF-3, which in latent IRF-3 is covered by its autoinhibitory elements.	Homo sapiens (Human);Homo sapiens (Human)
300	PC2 complex	Human	None	None	O43513;O60244;O75448;O75586;Q13503;Q6P2C8;Q9BTT4;Q9H944;Q9NVC6;Q9Y2W1;Q9Y2X0;Q9Y3C7	9443;9282;9862;10001;9412;9442;84246;9477;9440;9967;10025;51003	MI:0226- ion exchange chromatography; MI:0071- molecular sieving	GO:0045893;GO:0005515;GO:0005634	positive regulation of transcription, DNA-templated;protein binding;nucleus	11.02.03.04.01;16.01;70.10	transcription activation;protein binding;nucleus	10882111	Mediator of RNA polymerase II transcription subunit 7 ;Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 24;Mediator of RNA polymerase II transcription subunit 6 ;Mediator of RNA polymerase II transcription subunit 21;Mediator of RNA polymerase II transcription subunit 27 ;Mediator of RNA polymerase II transcription subunit 10 ;Mediator of RNA polymerase II transcription subunit 20 ;Mediator of RNA polymerase II transcription subunit 17;Thyroid hormone receptor-associated protein 3;Mediator of RNA polymerase II transcription subunit 16;Mediator of RNA polymerase II transcription subunit 31	MED7;MED14;MED24;MED6;MED21;MED27;MED10;MED20;MED17;THRAP3;MED16;MED31	ARC34 CRSP9;ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170;ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100;ARC33;SRB7 SURB7;CRSP34 CRSP8;;TRFP;ARC77 CRSP6 DRIP77 DRIP80 TRAP80;TRAP150;DRIP92 THRAP5;SOH1	None	None	According to the authors, PC2 is a submodule of TRAP/SMCC. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
301	SMCC complex	Human	SRB/MED-containing cofactor complex	None	O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q6P2C8;Q93074;Q9BTT4;Q9H944;Q9NVC6;Q9UHV7;Q9Y2W1;Q9Y2X0;Q9Y3C7	9443;9282;9862;10001;892;1024;9412;5469;9442;9968;84246;9477;9440;9969;9967;10025;51003	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0005515;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding;nucleus	11.02.03.04;16.01;70.10	transcriptional control;protein binding;nucleus	10882111	Mediator of RNA polymerase II transcription subunit 7 ;Mediator of RNA polymerase II transcription subunit 14;Mediator of RNA polymerase II transcription subunit 24;Mediator of RNA polymerase II transcription subunit 6 ;Cyclin-C;Cyclin-dependent kinase 8;Mediator of RNA polymerase II transcription subunit 21;Mediator of RNA polymerase II transcription subunit 1;Mediator of RNA polymerase II transcription subunit 27 ;Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 10 ;Mediator of RNA polymerase II transcription subunit 20 ;Mediator of RNA polymerase II transcription subunit 17;Mediator of RNA polymerase II transcription subunit 13 ;Thyroid hormone receptor-associated protein 3;Mediator of RNA polymerase II transcription subunit 16;Mediator of RNA polymerase II transcription subunit 31	MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED27;MED12;MED10;MED20;MED17;MED13;THRAP3;MED16;MED31	ARC34 CRSP9;ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170;ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100;ARC33;None;None;SRB7 SURB7;ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2;CRSP34 CRSP8;ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230;;TRFP;ARC77 CRSP6 DRIP77 DRIP80 TRAP80;ARC250 KIAA0593 THRAP1 TRAP240;TRAP150;DRIP92 THRAP5;SOH1	None	None	Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
302	INO80 chromatin remodeling complex	Human	INO80 complex	None	O96019;P15923;Q53TQ3;Q6P4R8;Q6PI98;Q8NBZ0;Q96EZ8;Q9C086;Q9H981;Q9H9F9;Q9ULG1;Q9Y230;Q9Y265	86;6929;54891;4798;125476;283899;10445;83444;93973;79913;54617;10856;8607	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0003677;GO:0005524;GO:0051276;GO:0005694	DNA topological change;DNA binding;ATP binding;chromosome organization;chromosome	10.01.09.05;16.03.01;16.19.03;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);DNA binding;ATP binding;organization of chromosome structure;chromosome	16230350	Actin-like protein 6A;Transcription factor E2-alpha ;INO80 complex subunit D;Nuclear factor related to kappa-B-binding protein ;INO80 complex subunit C ;INO80 complex subunit E ;Microspherule protein 1 ;INO80 complex subunit B ;Actin-related protein 8 ;Actin-related protein 5 ;DNA helicase INO80 ;RuvB-like 2;RuvB-like 1	ACTL6A;TCF3;INO80D;NFRKB;INO80C;INO80E;MCRS1;INO80B;ACTR8;ACTR5;INO80;RUVBL2;RUVBL1	BAF53 BAF53A INO80K;BHLHB21 E2A ITF1;;INO80G;C18orf37;CCDC95;INO80Q MSP58;HMGA1L4 PAPA1 ZNHIT4;ARP8 INO80N;ARP5;INO80A INOC1 KIAA1259;INO80J TIP48 TIP49B;INO80H NMP238 TIP49 TIP49A	None	None	INO80 complex exhibits DNA- and nucleosome-activated ATPase activity and catalyzes ATP-dependent nucleosome sliding.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
304	SRCAP-associated chromatin remodeling complex	Human	None	None	O43257;O95619;O96019;P0C0S5;Q15906;Q6ZRS2;Q96CJ1;Q9GZN1;Q9Y230;Q9Y265	10467;8089;86;3015;6944;10847;55840;64431;10856;8607	MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0045893;GO:0051276;GO:0005634	DNA topological change;positive regulation of transcription, DNA-templated;chromosome organization;nucleus	10.01.09.05;11.02.03.04.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription activation;organization of chromosome structure;nucleus	15647280	Zinc finger HIT domain-containing protein 1 ;YEATS domain-containing protein 4;Actin-like protein 6A;Histone H2A.Z ;Vacuolar protein sorting-associated protein 72 homolog ;Helicase SRCAP ;ELL-associated factor 2 ;Actin-related protein 6 ;RuvB-like 2;RuvB-like 1	ZNHIT1;YEATS4;ACTL6A;H2AFZ;VPS72;SRCAP;EAF2;ACTR6;RUVBL2;RUVBL1	CGBP1 ZNFN4A1;GAS41;BAF53 BAF53A INO80K;H2AZ;TCFL1 YL1;KIAA0309;TRAITS;;INO80J TIP48 TIP49B;INO80H NMP238 TIP49 TIP49A	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
305	40S ribosomal subunit, cytoplasmic	Human	small ribosomal subunit, cytoplasmic	None	P08708;P08865;P15880;P22090;P23396;P25398;P39019;P42677;P46781;P46782;P46783;P60866;P61247;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62701;P62753;P62841;P62847;P62851;P62854;P62857;P62861;P62979;P63220	6218;3921;6187;6192;6188;6206;6223;6232;6203;6193;6204;6224;6189;6201;6202;6210;6217;6208;6228;6222;6235;6207;6205;6191;6194;6209;6229;6230;6231;6234;2197;6233;6227	MI:0363-inferred by author	GO:0006412;GO:0005737	translation;cytoplasm	12.04;70.03	translation;cytoplasm	14681386	40S ribosomal protein S17;40S ribosomal protein SA;40S ribosomal protein S2;40S ribosomal protein S4, Y isoform 1;40S ribosomal protein S3;40S ribosomal protein S12;40S ribosomal protein S19;40S ribosomal protein S27;40S ribosomal protein S9;40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed];40S ribosomal protein S10;40S ribosomal protein S20;40S ribosomal protein S3a;40S ribosomal protein S7;40S ribosomal protein S8;40S ribosomal protein S15a;40S ribosomal protein S16;40S ribosomal protein S14;40S ribosomal protein S23;40S ribosomal protein S18;40S ribosomal protein S29;40S ribosomal protein S13;40S ribosomal protein S11;40S ribosomal protein S4, X isoform;40S ribosomal protein S6;40S ribosomal protein S15;40S ribosomal protein S24;40S ribosomal protein S25;40S ribosomal protein S26;40S ribosomal protein S28;40S ribosomal protein S30;Ubiquitin-40S ribosomal protein S27a;40S ribosomal protein S21	RPS17;RPSA;RPS2;RPS4Y1;RPS3;RPS12;RPS19;RPS27;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21	RPS17L;LAMBR LAMR1;RPS4;RPS4Y;None;None;None;MPS1;None;None;None;None;FTE1 MFTL;None;None;None;None;None;None;D6S218E;None;None;None;CCG2 RPS4 SCAR;None;RIG;None;None;None;None;None;UBA80 UBCEP1;None	None	Since the authors did not specify RPS4Y, we used isoform RPS4Y1	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
306	Ribosome, cytoplasmic	Human	None	None	P05386;P05387;P05388;P08708;P08865;P15880;P18077;P18124;P18621;P22090;P23396;P25398;P26373;P27635;P30050;P32969;P35268;P36578;P39019;P39023;P40429;P42677;P42766;P46776;P46777;P46778;P46779;P46781;P46782;P46783;P47914;P49207;P50914;P60866;P61247;P61254;P61313;P61353;P61513;P61927;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62424;P62701;P62750;P62753;P62829;P62841;P62847;P62851;P62854;P62857;P62861;P62888;P62891;P62899;P62906;P62910;P62913;P62917;P62945;P62979;P62987;P63173;P63220;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q9Y3U8	6176;6181;6175;6218;3921;6187;6165;6129;6139;6192;6188;6206;6137;6134;6136;6133;6146;6124;6223;6122;23521;6232;11224;6157;6125;6144;6158;6203;6193;6204;6159;6164;9045;6224;6189;6154;6138;6155;6168;6167;6201;6202;6210;6217;6208;6228;6222;6235;6207;6205;6130;6191;6147;6194;9349;6209;6229;6230;6231;6234;2197;6156;6170;6160;4736;6161;6135;6132;6171;6233;7311;6169;6227;6152;6173;6143;6142;6128;6141;25873	MI:0363-inferred by author	GO:0006412;GO:0005737	translation;cytoplasm	12.04;70.03	translation;cytoplasm	14681386	60S acidic ribosomal protein P1;60S acidic ribosomal protein P2;60S acidic ribosomal protein P0;40S ribosomal protein S17;40S ribosomal protein SA;40S ribosomal protein S2;60S ribosomal protein L35a;60S ribosomal protein L7;60S ribosomal protein L17;40S ribosomal protein S4, Y isoform 1;40S ribosomal protein S3;40S ribosomal protein S12;60S ribosomal protein L13;60S ribosomal protein L10;60S ribosomal protein L12;60S ribosomal protein L9;60S ribosomal protein L22;60S ribosomal protein L4;40S ribosomal protein S19;60S ribosomal protein L3;60S ribosomal protein L13a;40S ribosomal protein S27;60S ribosomal protein L35;60S ribosomal protein L27a;60S ribosomal protein L5;60S ribosomal protein L21;60S ribosomal protein L28;40S ribosomal protein S9;40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed];40S ribosomal protein S10;60S ribosomal protein L29;60S ribosomal protein L34;60S ribosomal protein L14;40S ribosomal protein S20;40S ribosomal protein S3a;60S ribosomal protein L26;60S ribosomal protein L15;60S ribosomal protein L27;60S ribosomal protein L37a;60S ribosomal protein L37;40S ribosomal protein S7;40S ribosomal protein S8;40S ribosomal protein S15a;40S ribosomal protein S16;40S ribosomal protein S14;40S ribosomal protein S23;40S ribosomal protein S18;40S ribosomal protein S29;40S ribosomal protein S13;40S ribosomal protein S11;60S ribosomal protein L7a;40S ribosomal protein S4, X isoform;60S ribosomal protein L23a;40S ribosomal protein S6;60S ribosomal protein L23;40S ribosomal protein S15;40S ribosomal protein S24;40S ribosomal protein S25;40S ribosomal protein S26;40S ribosomal protein S28;40S ribosomal protein S30;60S ribosomal protein L30;60S ribosomal protein L39;60S ribosomal protein L31;60S ribosomal protein L10a;60S ribosomal protein L32;60S ribosomal protein L11;60S ribosomal protein L8;60S ribosomal protein L41;Ubiquitin-40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;60S ribosomal protein L38;40S ribosomal protein S21;60S ribosomal protein L24;60S ribosomal protein L36a;60S ribosomal protein L19;60S ribosomal protein L18a;60S ribosomal protein L6;60S ribosomal protein L18;60S ribosomal protein L36	RPLP1;RPLP2;RPLP0;RPS17;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS4Y1;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9; RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36	RRP1;D11S2243E RPP2;None;RPS17L;LAMBR LAMR1;RPS4;None;None;None;RPS4Y;None;None;BBC1;DXS648E QM;None;; ; ;;None;RPL1;None;None;None;MPS1;None;None;None;None;None;None;None;None;None;None;None;None;FTE1 MFTL;None;EC45;None;None;None;None;None;None;None;None;None;D6S218E;None;None;None;SURF-3 SURF3;CCG2 RPS4 SCAR;None;None;None;RIG;None;None;None;None;None;None;None;None;NEDD6;None;None;None;None;UBA80 UBCEP1;UBCEP2;None;None;None;RPL44;None;None;TXREB1;None;None	None	Since the authors did not specify RPS4Y, we used isoform RPS4Y1	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
307	Epithelial utrophin-associated protein complex	Mammalia	None	MDCK cells, epithelium	O08614;O70585;Q61235	22288;13528;20650	MI:0019- coimmunoprecipitation	GO:0005886	plasma membrane	70.02	eukaryotic plasma membrane / membrane attached	10209032	Cytoskeletal protein;Dystrobrevin beta;Beta-2-syntrophin	Utrn;Dtnb;Sntb2	utrophin;None;Snt2b2	None	None	The complex is restricted to the basolateral cell surface of epithelial cells. The authors suggest that this complex in the MDCK cell line may be involved in the generation or maintenance of cell polarity and the formation of signaling complexes in epithelia.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
308	60S ribosomal subunit, cytoplasmic	Human	large ribosomal subunit, cytoplasmic	None	P05386;P05387;P05388;P18077;P18124;P18621;P26373;P27635;P30050;P32969;P35268;P36578;P39023;P40429;P42766;P46776;P46777;P46778;P46779;P47914;P49207;P50914;P61254;P61313;P61353;P61513;P61927;P62424;P62750;P62829;P62888;P62891;P62899;P62906;P62910;P62913;P62917;P62945;P62987;P63173;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q9Y3U8	6176;6181;6175;6165;6129;6139;6137;6134;6136;6133;6146;6124;6122;23521;11224;6157;6125;6144;6158;6159;6164;9045;6154;6138;6155;6168;6167;6130;6147;9349;6156;6170;6160;4736;6161;6135;6132;6171;7311;6169;6152;6173;6143;6142;6128;6141;25873	MI:0363- inferred by author	GO:0006412;GO:0005737	translation;cytoplasm	12.04;70.03	translation;cytoplasm	14681386	60S acidic ribosomal protein P1;60S acidic ribosomal protein P2;60S acidic ribosomal protein P0;60S ribosomal protein L35a;60S ribosomal protein L7;60S ribosomal protein L17;60S ribosomal protein L13;60S ribosomal protein L10;60S ribosomal protein L12;60S ribosomal protein L9;60S ribosomal protein L22;60S ribosomal protein L4;60S ribosomal protein L3;60S ribosomal protein L13a;60S ribosomal protein L35;60S ribosomal protein L27a;60S ribosomal protein L5;60S ribosomal protein L21;60S ribosomal protein L28;60S ribosomal protein L29;60S ribosomal protein L34;60S ribosomal protein L14;60S ribosomal protein L26;60S ribosomal protein L15;60S ribosomal protein L27;60S ribosomal protein L37a;60S ribosomal protein L37;60S ribosomal protein L7a;60S ribosomal protein L23a;60S ribosomal protein L23;60S ribosomal protein L30;60S ribosomal protein L39;60S ribosomal protein L31;60S ribosomal protein L10a;60S ribosomal protein L32;60S ribosomal protein L11;60S ribosomal protein L8;60S ribosomal protein L41;Ubiquitin-60S ribosomal protein L40;60S ribosomal protein L38;60S ribosomal protein L24;60S ribosomal protein L36a;60S ribosomal protein L19;60S ribosomal protein L18a;60S ribosomal protein L6;60S ribosomal protein L18;60S ribosomal protein L36	RPLP1;RPLP2;RPLP0;RPL35A;RPL7;RPL17;RPL13;RPL10;RPL12;RPL9; RPL9;RPL22;RPL4;RPL3;RPL13A;RPL35;RPL27A;RPL5;RPL21;RPL28;RPL29;RPL34;RPL14;RPL26;RPL15;RPL27;RPL37A;RPL37;RPL7A;RPL23A;RPL23;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;UBA52;RPL38;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36	RRP1;D11S2243E RPP2;None;None;None;None;BBC1;DXS648E QM;None;; ; ;;None;RPL1;None;None;None;None;None;None;None;None;None;None;None;EC45;None;None;None;SURF-3 SURF3;None;None;None;None;None;NEDD6;None;None;None;None;UBCEP2;None;None;RPL44;None;None;TXREB1;None;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
309	RC complex	Bovine	None	None	P20664;P28339;P33609;P33610;P35601;P49004;Q2TBV1;Q3UI84;Q58D13;Q9D0F6;Q9WUK4	19075;281990;18968;19076;19687;281991;515602;106344;514793;72151;19718	MI:0006- anti bait coimmunoprecipitation; MI:0071- molecular sieving; MI:0226- ion exchange chromatography	GO:0006267;GO:0003688;GO:0006271;GO:0003677;GO:0005634	pre-replicative complex assembly involved in nuclear cell cycle DNA replication;DNA replication origin binding;DNA strand elongation involved in DNA replication;DNA binding;nucleus	10.01.03.03;10.01.03.05;16.03.01;70.10	ori recognition and priming complex formation;extension/ polymerization activity;DNA binding;nucleus	8639537	DNA primase small subunit;DNA polymerase delta catalytic subunit ;DNA polymerase alpha catalytic subunit;DNA primase large subunit;Replication factor C subunit 1 ;DNA polymerase delta subunit 2 ;Replication factor C subunit 3 ;Replication factor C subunit 4;DNA polymerase alpha subunit B ;Replication factor C subunit 5 ;Replication factor C subunit 2	Prim1;POLD1;Pola1;Prim2;Rfc1;POLD2;RFC3;Rfc4;POLA2;Rfc5;Rfc2	None;;Pola;None;Ibf-1 Recc1;;;;;;	None	Since several bovine proteins were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were taken.	ATP is required for the stability of the RC complex. PCNA is required to stabilize the RC complex to a DNA primer-end.	Mus musculus (Mouse);Bos taurus (Bovine);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Bos taurus (Bovine);Bos taurus (Bovine);Mus musculus (Mouse);Bos taurus (Bovine);Mus musculus (Mouse);Mus musculus (Mouse)
310	Cell cycle kinase complex CDC2	Human	None	None	O95067;P06493;P12004;P14635;P24385;P38936	9133;983;5111;891;595;1026	MI:0006- anti bait coimmunoprecipitation	GO:0000278	mitotic cell cycle	10.03.01.01	mitotic cell cycle	7903056	G2/mitotic-specific cyclin-B2;Cyclin-dependent kinase 1 ;Proliferating cell nuclear antigen;G2/mitotic-specific cyclin-B1;G1/S-specific cyclin-D1;Cyclin-dependent kinase inhibitor 1	CCNB2;CDK1;PCNA;CCNB1;CCND1;CDKN1A	;CDC2 CDC28A CDKN1 P34CDC2;None;CCNB;BCL1 PRAD1;CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
